epoch,loss_disc_all,loss_gen_all,step,train_loss
6680,1.9628088474273682,52.857017517089844,777109,54.819828033447266
6680,2.679043769836426,46.066917419433594,777119,48.7459602355957
6680,2.4102344512939453,48.680728912353516,777129,51.090965270996094
6680,2.384960174560547,44.13797378540039,777139,46.52293395996094
6680,2.1711976528167725,43.39839553833008,777149,45.5695915222168
6680,2.1340413093566895,43.96826934814453,777159,46.10231018066406
6680,2.1278200149536133,43.052337646484375,777169,45.18015670776367
6680,2.204617500305176,42.545265197753906,777179,44.749881744384766
6680,1.547590970993042,50.63279724121094,777189,52.180389404296875
6681,1.7954232692718506,42.7008056640625,777199,44.4962272644043
6681,2.412458658218384,44.143733978271484,777209,46.55619430541992
6681,2.038971424102783,41.63771438598633,777219,43.67668533325195
6681,2.061185836791992,41.858829498291016,777229,43.920013427734375
6681,2.088541030883789,40.7310791015625,777239,42.819618225097656
6681,2.005526542663574,39.81189727783203,777249,41.81742477416992
6681,2.1390397548675537,39.325164794921875,777259,41.464202880859375
6681,2.0986292362213135,42.53352737426758,777269,44.63215637207031
6681,1.5149669647216797,43.092185974121094,777279,44.607154846191406
6682,1.9948511123657227,41.87584686279297,777289,43.870697021484375
6682,2.1409525871276855,41.97623825073242,777299,44.117191314697266
6682,2.0936455726623535,40.821773529052734,777309,42.91542053222656
6682,1.9294178485870361,40.86185073852539,777319,42.79126739501953
6682,2.1279637813568115,39.88669204711914,777329,42.01465606689453
6682,2.1287503242492676,41.48106384277344,777339,43.60981369018555
6682,2.1538431644439697,41.19028854370117,777349,43.34413146972656
6682,2.243589401245117,39.750431060791016,777359,41.9940185546875
6682,2.1326920986175537,42.168792724609375,777369,44.301483154296875
6683,2.0735974311828613,40.786006927490234,777379,42.85960388183594
6683,2.0948097705841064,39.68892288208008,777389,41.78373336791992
6683,2.1794190406799316,40.85340881347656,777399,43.03282928466797
6683,2.178311586380005,40.47719955444336,777409,42.65550994873047
6683,2.2093374729156494,38.601158142089844,777419,40.81049728393555
6683,2.183302402496338,39.32110595703125,777429,41.50440979003906
6683,2.0879557132720947,40.757266998291016,777439,42.84522247314453
6683,2.1949875354766846,39.852909088134766,777449,42.04789733886719
6683,2.42236328125,47.43545150756836,777459,49.85781478881836
6684,2.1532373428344727,40.216556549072266,777469,42.36979293823242
6684,1.9994308948516846,41.11930847167969,777479,43.11874008178711
6684,2.069760799407959,38.64479446411133,777489,40.71455383300781
6684,2.238485813140869,37.446014404296875,777499,39.68450164794922
6684,1.961249589920044,40.24482727050781,777509,42.206077575683594
6684,2.0146684646606445,40.556060791015625,777519,42.57072830200195
6684,1.9283987283706665,40.89617156982422,777529,42.82456970214844
6684,2.2509841918945312,38.655513763427734,777539,40.906497955322266
6684,2.4845478534698486,48.58190155029297,777549,51.06644821166992
